monitoring_period,feature,metric_type,csi,drift_level
2024Q1_sim_1,loan_amount,numeric_csi,15.428983797263463,High
2024Q1_sim_1,derived_loan_product_type,categorical_csi,0.3501234613538173,High
2024Q1_sim_1,lien_status,numeric_csi,0.27286332877087954,High
2024Q1_sim_1,loan_type,numeric_csi,0.15036234009127095,Moderate
2024Q1_sim_1,income_band,categorical_csi,0.12379536323761012,Moderate
2024Q1_sim_1,loan_purpose,numeric_csi,0.1117900706326921,Moderate
2024Q1_sim_1,property_value,numeric_csi,0.10595191893723974,Moderate
2024Q1_sim_1,income,numeric_csi,0.09955856247322944,Low
2024Q1_sim_1,occupancy_type,numeric_csi,0.08783805054270262,Low
2024Q1_sim_1,loan_to_value_ratio,numeric_csi,0.08505295824743661,Low
2024Q1_sim_1,ltv_band,categorical_csi,0.042347898018087124,Low
2024Q1_sim_1,derived_sex,categorical_csi,0.015711260831645018,Low
2024Q1_sim_1,derived_race,categorical_csi,0.011483993849685762,Low
2024Q1_sim_1,derived_msa_md,numeric_csi,0.009247439511729657,Low
2024Q1_sim_1,county_code,numeric_csi,0.008143604653173422,Low
2024Q1_sim_1,debt_to_income_ratio,categorical_csi,0.005833681327654024,Low
2024Q1_sim_1,census_tract,numeric_csi,0.005690152012813089,Low
2024Q1_sim_1,total_units,numeric_csi,0.003127724753005774,Low
2024Q1_sim_1,business_or_commercial_purpose,numeric_csi,0.002589767763792357,Low
2024Q1_sim_1,manufactured_home_secured_property_type,numeric_csi,0.0024785694963030337,Low
2024Q1_sim_1,open_end_line_of_credit,numeric_csi,0.0023061714608225074,Low
2024Q1_sim_1,reverse_mortgage,numeric_csi,0.00229093936222045,Low
2024Q1_sim_1,derived_ethnicity,categorical_csi,0.0006224187105022902,Low
2024Q1_sim_1,derived_dwelling_category,categorical_csi,0.00010173238865136495,Low
2024Q1_sim_1,construction_method,numeric_csi,8.063690661049431e-06,Low
2024Q2_sim_2,loan_amount,numeric_csi,16.773603186770174,High
2024Q2_sim_2,derived_loan_product_type,categorical_csi,0.21228948190007746,Moderate
2024Q2_sim_2,lien_status,numeric_csi,0.13402081036924693,Moderate
2024Q2_sim_2,loan_type,numeric_csi,0.12272305433178471,Moderate
2024Q2_sim_2,income_band,categorical_csi,0.1046136876677705,Moderate
2024Q2_sim_2,property_value,numeric_csi,0.0975270826036976,Low
2024Q2_sim_2,income,numeric_csi,0.08498721055421797,Low
2024Q2_sim_2,loan_to_value_ratio,numeric_csi,0.04982579069397042,Low
2024Q2_sim_2,ltv_band,categorical_csi,0.037261579692377984,Low
2024Q2_sim_2,loan_purpose,numeric_csi,0.03719148074252133,Low
2024Q2_sim_2,occupancy_type,numeric_csi,0.03168004903404811,Low
2024Q2_sim_2,debt_to_income_ratio,categorical_csi,0.014481270704510394,Low
2024Q2_sim_2,derived_msa_md,numeric_csi,0.010737175242148837,Low
2024Q2_sim_2,county_code,numeric_csi,0.0053728488089413735,Low
2024Q2_sim_2,derived_sex,categorical_csi,0.004921282486642118,Low
2024Q2_sim_2,derived_ethnicity,categorical_csi,0.0036640994671504326,Low
2024Q2_sim_2,census_tract,numeric_csi,0.003625272062148668,Low
2024Q2_sim_2,derived_race,categorical_csi,0.003460515027585312,Low
2024Q2_sim_2,derived_dwelling_category,categorical_csi,0.0014445702037209783,Low
2024Q2_sim_2,construction_method,numeric_csi,0.001287874248019384,Low
2024Q2_sim_2,total_units,numeric_csi,0.0001929245986026574,Low
2024Q2_sim_2,open_end_line_of_credit,numeric_csi,7.268730993923205e-05,Low
2024Q2_sim_2,reverse_mortgage,numeric_csi,6.803432755904576e-05,Low
2024Q2_sim_2,manufactured_home_secured_property_type,numeric_csi,2.474445443285006e-06,Low
2024Q2_sim_2,business_or_commercial_purpose,numeric_csi,4.7310205368231347e-07,Low
2024Q3_sim_3,loan_amount,numeric_csi,13.065801733525578,High
2024Q3_sim_3,property_value,numeric_csi,0.12203564870780512,Moderate
2024Q3_sim_3,derived_loan_product_type,categorical_csi,0.08240961453209966,Low
2024Q3_sim_3,income_band,categorical_csi,0.060464494777901764,Low
2024Q3_sim_3,income,numeric_csi,0.05754697536132277,Low
2024Q3_sim_3,lien_status,numeric_csi,0.04002644543954183,Low
2024Q3_sim_3,loan_purpose,numeric_csi,0.0283638417980891,Low
2024Q3_sim_3,occupancy_type,numeric_csi,0.023244904399450726,Low
2024Q3_sim_3,loan_to_value_ratio,numeric_csi,0.022594002389887558,Low
2024Q3_sim_3,loan_type,numeric_csi,0.0076230066879558085,Low
2024Q3_sim_3,ltv_band,categorical_csi,0.007330157273254283,Low
2024Q3_sim_3,debt_to_income_ratio,categorical_csi,0.004953574153044888,Low
2024Q3_sim_3,county_code,numeric_csi,0.003825507710981949,Low
2024Q3_sim_3,derived_msa_md,numeric_csi,0.0035734763648599833,Low
2024Q3_sim_3,derived_sex,categorical_csi,0.0035528850291101175,Low
2024Q3_sim_3,derived_race,categorical_csi,0.002172515653716342,Low
2024Q3_sim_3,derived_dwelling_category,categorical_csi,0.0014596280208671992,Low
2024Q3_sim_3,construction_method,numeric_csi,0.0013029338548357435,Low
2024Q3_sim_3,census_tract,numeric_csi,0.0013027298744114353,Low
2024Q3_sim_3,derived_ethnicity,categorical_csi,0.0008911384308352583,Low
2024Q3_sim_3,business_or_commercial_purpose,numeric_csi,0.0002572819405500751,Low
2024Q3_sim_3,manufactured_home_secured_property_type,numeric_csi,0.00024280643767563153,Low
2024Q3_sim_3,total_units,numeric_csi,0.00024091507571714343,Low
2024Q3_sim_3,reverse_mortgage,numeric_csi,0.00016548210281485602,Low
2024Q3_sim_3,open_end_line_of_credit,numeric_csi,0.0001614330997872722,Low
2024Q4_sim_4,loan_amount,numeric_csi,16.54869831028495,High
2024Q4_sim_4,derived_loan_product_type,categorical_csi,0.4310233833790808,High
2024Q4_sim_4,lien_status,numeric_csi,0.3754433739225888,High
2024Q4_sim_4,loan_purpose,numeric_csi,0.1591792773525203,Moderate
2024Q4_sim_4,property_value,numeric_csi,0.15553069731642763,Moderate
2024Q4_sim_4,loan_to_value_ratio,numeric_csi,0.11457732850389674,Moderate
