attribute,group,reference_group,n,small_group_flag,actual_positives,actual_negatives,actual_approval_rate,predicted_approval_rate,approval_rate_difference,disparate_impact_ratio,true_positive_rate,equal_opportunity_difference,false_negative_rate,false_negative_rate_gap,false_positive_rate,false_positive_rate_gap,mean_predicted_probability,calibration_error,brier_score,tp,fp,tn,fn,adverse_impact_flag,large_fnr_gap_flag,large_fpr_gap_flag,large_equal_opportunity_gap_flag,large_calibration_error_flag,governance_attention_flag
race,Free Form Text Only,Joint,155,False,41,114,0.2645161290322581,0.41935483870967744,-0.2689542630628778,0.6092536589008364,0.9024390243902439,-0.03605062238198509,0.0975609756097561,0.03605062238198509,0.24561403508771928,0.030300275732509152,0.36080378409340863,0.09628765506115056,0.1348792973151459,37,28,86,4,True,False,False,False,False,True
race,Race Not Available,Joint,62332,False,32187,30145,0.516380029519348,0.4716838862863377,-0.21662521548621755,0.6852791646538489,0.728244322241899,-0.21024532453033007,0.2717556777581011,0.2102453245303301,0.19774423619173992,-0.017569523163470213,0.47517151511154493,0.0412085144078031,0.15354464028300313,23440,5961,24184,8747,True,True,False,True,False,True
race,Native Hawaiian or Other Pacific Islander,Joint,624,False,235,389,0.3766025641025641,0.4775641025641026,-0.21074499920845263,0.6938221524810068,0.8553191489361702,-0.08317049783605879,0.14468085106382977,0.08317049783605876,0.2493573264781491,0.03404356712293896,0.43190302984970447,0.05530046574714037,0.1494937994048684,201,97,292,34,True,False,False,False,False,True
race,American Indian or Alaska Native,Joint,1253,False,505,748,0.4030327214684757,0.5083798882681564,-0.17992921350439883,0.7385924244775501,0.8930693069306931,-0.04542033984153593,0.10693069306930693,0.045420339841535914,0.24866310160427807,0.03334934224906794,0.4548479756381874,0.05181525416971172,0.13727618754145413,451,186,562,54,True,False,False,False,False,True
race,2 or more minority races,Joint,631,False,281,350,0.44532488114104596,0.5277337559429477,-0.16057534582960753,0.7667104133650291,0.900355871886121,-0.03813377488610803,0.099644128113879,0.03813377488610799,0.22857142857142856,0.013257669216218432,0.47556585044697275,0.03024096930592679,0.12588345437977794,253,80,270,28,True,False,False,False,False,True
race,Black or African American,Joint,25436,False,12310,13126,0.4839597420978141,0.5592860512659223,-0.12902305050663287,0.8125507127911448,0.8778229082047116,-0.060666738567517364,0.12217709179528838,0.060666738567517364,0.26055157702270304,0.04523781766749291,0.4964011809512437,0.012441438853429576,0.14359781299800004,10806,3420,9706,1504,False,False,False,False,False,False
race,Asian,Joint,31821,False,18142,13679,0.5701266459256465,0.6156626127400144,-0.07264648903254078,0.8944565910207213,0.93286296990409,-0.005626676868139002,0.06713703009591004,0.00562667686813903,0.19497039257255647,-0.020343366782653666,0.5565063643669079,0.013620281558738623,0.09596215352829454,16924,2667,11012,1218,False,False,False,False,False,False
race,White,Joint,162731,False,99592,63139,0.6120038591294836,0.6469511033546159,-0.0413579984179393,0.939913625562363,0.9085468712346373,-0.029942775537591726,0.09145312876536268,0.02994277553759167,0.2343242686770459,0.01901050932183576,0.5623455039386958,0.04965835519078787,0.11572214325528321,90484,14795,48344,9108,False,False,False,False,False,False
race,Joint,Joint,5021,False,3284,1737,0.654052977494523,0.6883091017725552,0.0,1.0,0.938489646772229,0.0,0.061510353227771014,0.0,0.21531375935521013,0.0,0.5960018659818838,0.0580511115126392,0.09431300251438893,3082,374,1363,202,False,False,False,False,False,False
ethnicity,Ethnicity Not Available,Joint,54597,False,28680,25917,0.5253035881092367,0.4633038445335824,-0.20939128736742385,0.688727809318772,0.7062761506276151,-0.22880307472449757,0.29372384937238494,0.22880307472449762,0.1944283674808041,-0.053970209031651395,0.4754603469744667,0.04984324113477001,0.1579169900922194,20256,5039,20878,8424,True,True,False,True,False,True
